X.ID,MATID,MAT,Ag_ppb,As_ash,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg_ppb,K,La,LOI,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Ti,Zn
108,ROG108,ROG,-1.94E+00,1.92E-01,9.59E-01,1.68E+00,1.47E+00,-4.24E-01,-2.68E-01,-1.11E+00,-1.85E-04,2.76E-01,3.71E-01,1.04E+00,5.76E-01,-1.40E+00,1.15E+00,6.51E-01,3.40E-01,1.87E+00,8.20E-01,-7.82E-01,2.06E-01,-9.27E-01,1.38E+00,4.58E-01,-1.21E+00
109,ROG109,ROG,-1.94E+00,4.54E-01,1.13E+00,1.90E+00,1.59E+00,-5.46E-01,-3.70E-01,3.29E-02,3.56E-01,7.92E-01,4.14E-01,1.01E+00,8.06E-01,-1.58E+00,1.17E+00,2.35E-01,2.21E-01,1.56E+00,8.36E-01,-6.45E-01,3.43E-01,-9.27E-01,1.20E+00,5.78E-01,-1.11E+00
111,ROG111,ROG,-1.94E+00,8.41E-01,1.13E+00,1.11E+00,1.75E+00,-5.46E-01,-4.84E-01,-6.89E-01,6.84E-01,4.07E-01,4.14E-01,9.87E-01,7.05E-01,-1.92E+00,1.05E+00,2.16E-01,6.89E-01,8.09E-01,6.69E-01,-6.20E-01,5.72E-01,-2.46E-01,1.73E+00,3.19E-01,-5.10E-01
113,ROG113,ROG,-1.94E+00,7.86E-01,1.05E+00,1.17E+00,1.58E+00,-1.00E+00,-9.39E-01,-3.10E-01,2.88E-01,5.21E-01,4.95E-01,1.03E+00,1.73E-01,-1.55E+00,1.33E+00,2.14E-01,5.34E-01,9.22E-01,5.38E-01,-7.82E-01,4.64E-01,-9.27E-01,1.49E+00,3.19E-01,-1.48E+00
143,ROG143,ROG,-1.49E+00,5.29E-01,1.21E+00,7.65E-01,1.27E+00,-1.00E+00,1.88E-01,1.15E+00,5.34E-01,7.11E-01,7.01E-01,8.66E-01,6.45E-02,-1.18E+00,1.64E+00,9.14E-02,8.10E-02,5.99E-01,9.97E-01,8.05E-02,5.72E-01,-2.46E-01,1.40E+00,7.79E-01,-1.22E+00
106,ROG106,ROG,-1.94E+00,6.65E-01,1.09E+00,1.05E+00,1.49E+00,-2.09E+00,-1.34E-02,-3.10E-01,5.24E-01,5.21E-01,2.77E-01,9.56E-01,3.69E-01,-1.29E+00,1.39E+00,-2.17E-02,-9.10E-02,1.66E+00,5.38E-01,-8.12E-01,7.58E-01,-2.46E-01,9.04E-01,3.19E-01,-1.14E+00
107,ROG107,ROG,-1.49E+00,3.73E-01,1.05E+00,1.34E+00,1.52E+00,-1.20E+00,-1.75E-01,3.29E-02,8.99E-01,8.66E-01,5.69E-01,1.03E+00,1.73E-01,-1.44E+00,1.28E+00,4.37E-01,8.10E-02,1.89E+00,5.32E-01,-8.12E-01,7.58E-01,-2.46E-01,1.14E+00,3.19E-01,-1.14E+00
114,ROG114,ROG,-1.94E+00,4.54E-01,1.01E+00,1.19E+00,1.41E+00,-5.46E-01,4.96E-01,-1.11E+00,-6.46E-02,4.07E-01,2.77E-01,8.02E-01,3.69E-01,-1.21E+00,1.29E+00,1.36E+00,1.32E+00,5.15E-01,8.95E-01,-3.17E-01,4.64E-01,-2.46E-01,1.66E+00,5.78E-01,-9.92E-01
118,ROG118,ROG,-1.49E+00,8.86E-02,1.09E+00,1.15E+00,1.31E+00,-2.09E-01,6.95E-01,-1.11E+00,8.05E-01,7.92E-01,8.68E-01,8.53E-01,5.97E-01,-9.57E-01,1.22E+00,1.39E+00,8.74E-01,9.48E-01,7.50E-01,-1.62E-01,4.64E-01,-2.46E-01,1.83E+00,4.58E-01,-6.26E-01
112,ROG112,ROG,-2.70E+00,4.54E-01,9.59E-01,8.92E-01,1.52E+00,-6.81E-01,1.88E-01,-6.89E-01,7.09E-01,6.21E-01,4.14E-01,9.92E-01,6.45E-02,-1.40E+00,1.18E+00,8.81E-01,1.22E+00,7.45E-01,7.46E-01,-7.82E-01,6.69E-01,-2.46E-01,9.80E-01,4.58E-01,-1.07E+00
102,ROG102,ROG,-2.70E+00,2.87E-01,1.09E+00,1.41E+00,1.64E+00,-4.24E-01,-1.34E-02,-6.89E-01,7.12E-01,4.07E-01,4.14E-01,9.87E-01,4.57E-01,-1.58E+00,1.26E+00,8.30E-01,8.17E-01,4.19E-01,6.84E-01,-5.73E-01,5.72E-01,4.36E-01,1.29E+00,3.19E-01,-2.68E-01
103,ROG103,ROG,-2.70E+00,5.29E-01,1.01E+00,1.43E+00,1.69E+00,-4.24E-01,2.46E-01,-6.89E-01,6.01E-01,5.21E-01,4.56E-01,5.25E-01,6.71E-01,-1.47E+00,1.37E+00,1.11E+00,1.02E+00,7.77E-01,4.09E-01,-5.96E-01,4.82E-02,-2.46E-01,1.26E+00,1.54E-01,-7.63E-01
101,ROG101,ROG,-1.94E+00,3.73E-01,9.10E-01,1.16E+00,1.63E+00,-8.32E-01,5.84E-02,-3.10E-01,1.20E+00,2.76E-01,5.33E-01,1.11E+00,2.19E-01,-1.73E+00,1.33E+00,1.34E-01,1.49E+00,2.49E-01,6.33E-01,-4.25E-01,4.64E-01,4.36E-01,1.30E+00,3.19E-01,-1.02E+00
104,ROG104,ROG,-1.94E+00,1.92E-01,1.05E+00,1.02E+00,1.48E+00,-1.20E+00,-1.75E-01,-1.59E+00,7.15E-01,4.07E-01,4.14E-01,9.87E-01,-1.70E-04,-1.40E+00,1.47E+00,7.39E-01,1.11E+00,3.67E-01,4.02E-01,-3.34E-01,4.64E-01,1.53E-01,1.32E+00,-4.69E-02,-1.24E+00
105,ROG105,ROG,-1.49E+00,-2.58E-02,1.05E+00,1.28E+00,1.46E+00,-8.32E-01,5.84E-02,-6.89E-01,2.37E-01,6.21E-01,6.04E-01,9.12E-01,5.32E-01,-1.21E+00,1.50E+00,7.07E-01,6.89E-01,4.19E-01,7.41E-01,-2.83E-01,2.06E-01,1.53E-01,1.55E+00,4.58E-01,-1.45E+00
117,ROG117,ROG,-1.94E+00,7.86E-01,9.59E-01,1.33E+00,1.72E+00,2.77E-01,-1.75E-01,-3.10E-01,5.78E-01,2.76E-01,5.33E-01,9.24E-01,1.61E+00,-1.81E+00,1.09E+00,1.36E+00,1.81E+00,1.24E+00,5.08E-01,-6.20E-01,6.69E-01,-2.46E-01,1.32E+00,1.54E-01,-2.73E-01
119,ROG119,ROG,-1.94E+00,7.27E-01,1.01E+00,1.48E+00,1.43E+00,5.69E-02,-1.34E-02,-3.10E-01,4.72E-01,5.21E-01,5.69E-01,7.68E-01,1.29E+00,-1.03E+00,1.06E+00,1.46E+00,1.84E+00,9.97E-01,1.03E+00,-2.51E-01,4.64E-01,1.53E-01,1.35E+00,7.79E-01,-5.03E-01
