X.ID,X.MAT,XCOO,YCOO,XCOO_km,YCOO_km,X.FOREST,DAY,X.WEATHER,ALT,X.ASP,X.GRVEG,X.FLITHO,Ag_ppb,As_ash,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg_ppb,K,La,LOI,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Ti,Zn
101,BIL,578741,6708487,578.741,6708.487,SPRBIR,6,NICE,218,W,GRAS,MICSH,5,0.06,17,182.4,11500,0.38,0.35,0.9,6.57,40,24,9100,0.04,94.8,3980,657,0.04,1.5,1790,0.37,1500,0.03,41.8,7,122.2
102,BIL,582865,6706649,582.865,6706.649,SPRBIR,6,NICE,431,W,GRAS,GNEIS_R,6,0.08,23,216.8,11400,0.6,0.59,0.8,6.64,50,17,11100,0.04,94.7,3650,1669,0.04,2.9,2490,0.39,1700,0.03,30.4,11,297
103,BIL,581155,6720326,581.155,6720.326,SPRBIR,7,RAIN,430,FLAT,GRMO,GNEIS_R,5,0.08,19,123.2,9900,0.61,0.39,0.8,5.14,50,16,9700,0.05,95.2,3120,2584,0.07,2.2,2490,0.68,1300,0.02,29.5,10,192
104,BIL,580482,6711512,580.482,6711.512,SPRBIR,7,MOIST,475,FLAT,GRMO,GNEIS_R,3,0.09,33,83.1,10400,0.52,0.49,0.8,4.91,40,16,7300,0.03,95.5,4140,2444,0.04,1.7,2670,0.43,1300,0.02,22.9,11,274.3
105,BIL,584618,6701621,584.618,6701.621,SPRUCE,8,MOIST,410,FLAT,MOSS,GNEIS_R,3,0.08,17,93.7,9500,0.2,1,1,6.17,70,17,9900,0.05,95.2,5200,769,0.03,3.7,2040,0.38,1800,0.03,34.1,9,99.4
106,BIL,581453,6698513,581.453,6698.513,BIRSPR,8,NICE,296,W,GRAS,CAMSED,4,0.09,26,219.2,11800,0.38,0.47,1,6.09,60,19,9200,0.04,95,4590,900,0.03,9.1,2030,0.27,1800,0.02,27.8,8,188
107,BIL,579850,6695899,579.85,6695.899,SPRBIR,9,NICE,220,FLAT,GRAS,CAMSED,4,0.07,32,172.2,9500,0.21,0.45,0.9,6.71,70,15,9900,0.02,95.1,4180,844,0.02,8.4,2980,0.29,2600,0.02,25.1,12,199.5
108,BIL,581636,6694137,581.636,6694.137,SPRBIR,9,NICE,325,N,GRMO,CAMSED,5,0.06,30,347.8,11500,0.31,0.66,1,5.58,70,14,10000,0.03,94.8,5130,792,0.04,9.5,3040,0.25,2300,0.02,39.2,12,173.9
109,BIL,585167,6692022,585.167,6692.022,MIXDEC,10,NICE,390,E,GRFE,CAMSED,7,0.12,31,385.4,15400,0.53,0.36,1,5.79,80,20,12200,0.07,93.9,4610,733,0.1,5.6,2060,0.3,2200,0.02,40.7,9,151.5
111,BIL,582095,6688877,582.095,6688.877,MIXDEC,10,NICE,480,S,GRAS,CAMSED,3,0.15,30,92.9,18800,0.43,0.24,1.1,4.74,120,20,11300,0.08,93.2,3540,601,0.06,3.5,1730,0.37,2000,0.02,75.7,7,94.3
112,BIL,580702,6686100,580.702,6686.1,SPRBIR,11,CLOUD,296,N,GRMO,CAMSED,2,0.05,24,104.1,10600,0.32,0.56,1,6.23,80,18,8600,0.03,95.3,4010,1712,0.05,3.5,1830,0.32,2300,0.02,28,8,225.2
113,BIL,583087,6684132,583.087,6684.132,MIXDEC,11,CLOUD,360,N,GRAS,CAMSED,5,0.07,38,180.7,12000,0.33,0.23,1.2,7.16,70,16,9800,0.03,95,4840,526,0.06,5.3,2490,0.29,2900,0.02,45,10,177.5
114,BIL,589716,6679640,589.716,6679.64,SPRUCE,11,CLOUD,500,NW,BLUE,MAGM,3,0.03,30,73.4,9300,0.36,0.8,1,6.95,50,11,8500,0.03,95.7,3710,1960,0.09,5.1,3230,0.44,2400,0.02,37.7,12,193.7
115,BIL,586913,6675154,586.913,6675.154,BIRSPR,12,NICE,500,E,BLUE,MAGM,4,0.05,29,151.4,12200,0.85,0.27,0.9,5.62,60,14,7700,0.04,94.7,3020,4888,0.17,1.9,3440,0.48,2100,0.03,101,14,304.5
